REF_AREA_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888.819070698213,2852.836891479677,2573.304986438644,2372.490183435908,2097.38630357777,1885.364608765491,1944.691113766353,2175.408339004122,2368.788314066418,2460.37464166009,2615.369297384287,2753.039517490762,2910.40552581074,3137.269246088502,3520.411963333983,3877.725583430664,4291.695540395073,4682.216661200219,5177.656288053655,5200.785175638223,5616.105984609516,5941.702547223294,6052.65016288478,6115.445804695,6212.929802865223,5967.068560342268,5811.213872851157,5964.909294501376,6165.926231832281,6267.7483339582,6252.00220091446,6457.74418441168,6206.632213360611,6482.802950762865
Belgium,11715.82687910568,12258.29978899519,12845.96691215839,13305.12718533313,14096.6677431222,14466.62698710256,14822.71757866897,15310.61855475943,15890.13225950706,16895.70490070213,17951.32244127165,18632.84238197905,19542.88675033687,20724.74061126345,21602.80182970234,21116.99159076675,22270.85350585883,22382.64846768081,22997.27373441989,23514.51181556725,24532.45698311285,24464.58704345687,24616.83728818736,24695.56492019398,25305.03209846056,25715.3579180372,26174.75515834587,26755.69799448973,27930.4859347392,28794.65479797224,29609.6207847014,30040.55087225614,30376.87452338218,29967.39441415306,30839.24144789457,31508.62264136877,31862.66944064612,32991.5010339643,33566.9875682096,34676.60517271821,35878.31539481966,36148.28811602024,36600.86254535304,36826.26992000974,37976.697319251,38645.26055553673,39371.08578986417,40520.08436526146,40380.90747123952,39293.63758309615,39991.56462285874,40236.95961512966,40074.49280918141,40007.89976978613,40533.91348339218,40893.804537772,41172.88624645092,41619.32860890219,42208.36258522379,43006.40426056223,40769.02184017676,43119.89433347699,44583.5767711768,44731.04209838009
Belize,1554.736509015238,1590.495341124854,1626.449461375645,1661.024670350081,1694.310905852667,1725.673302074815,1753.865976636941,1784.374133106098,1858.364521844134,1898.206251597242,1945.041982931535,1987.987503075752,2158.244099195944,2241.940641425939,2511.388436240412,2557.681598068832,2504.714345315369,2612.707577638207,2762.210272334462,2907.694048794502,3183.735456871141,3139.227093887737,3058.542657337431,2921.074464565123,2909.060077804663,2871.030402629316,2934.265749578837,3177.26856009795,3411.770992720802,3771.133847663214,4111.681860059741,4498.659881542259,4966.68328051626,5165.540621462796,5055.70052469135,4966.799586764354,4874.556622044507,4914.25622252639,4930.246293631946,5212.365503571227,5662.334190459645,5763.677213224432,5893.700350348566,6273.010585927477,6381.595978010236,6335.677776750525,6434.118643853772,6465.219363641574,6183.938917717977,5997.243308266444,5919.556620857769,5777.831129489521,5866.251489928432,5998.17830945783,6109.477783753259,6154.495934982166,6016.496469857032,5772.926920234912,5729.210451862023,5886.962235493501,5003.877848471932,5824.303942641528,6269.379974451054,6212.260517850421
Benin,655.9130075831717,665.4312503861157,631.4207151217428,649.2601230870588,679.3564468913445,701.3321450802987,711.8581705459488,704.8385818298898,716.6401560242716,721.5324968228102,720.6050986393451,694.0340448704608,721.8763157977968,731.313119740378,737.9483262654992,684.9622916152005,674.040866553735,689.85878627034,680.6510980130705,706.1044323326104,733.4906373627053,783.9251936902972,778.6387650556806,723.4835206901777,758.3611656966195,791.7271648534188,785.1430701336039,750.4038406241841,752.7040350077613,709.1889077311153,749.4596666049833,757.4031451301673,756.0808881881024,765.4799144608701,752.2775087629042,781.0647884830868,793.7950527195618,814.9013954626597,821.4599714577752,838.9767870004597,861.2132920385554,879.8544637995399,893.1371009879199,896.1467632281101,907.62443123609,893.9153687262286,900.6205358138565,926.7401137813458,943.2033803316208,936.5656510991182,928.2466553564636,927.7164128640106,943.918771558781,982.3992063194293,1014.433006243361,1002.418868825641,1006.039266359839,1032.904711972224,1071.504521600853,1114.173045297217,1126.654041254697,1176.377276407354,1218.500105154487,1263.625651169428
Bermuda,39906.02194229448,40887.25532770305,41637.36314176012,41060.97612969571,44570.99859861524,45658.59445487957,51062.40815142846,56696.15270938672,56867.5774623567,57787.65622707679,60471.25527780401,61975.66556366502,62864.87334938884,63625.27793326533,64050.32418641988,66372.49245513792,72195.16109597217,76292.23938419893,77242.70290027956,78775.06142730193,84785.74622510317,86283.59879783881,81137.13193138922,82177.83557246788,81986.71944016688,79797.38271660623,84596.35287231205,87182.18740284968,90024.0922838766,89743.05581565568,89089.73464236083,85311.04942885917,84642.60849272988,86582.83449971424,86545.7823557807,89849.12501398129,91743.29623386788,95383.02251103646,98347.90898160511,100867.9145797429,109502.7631028093,116809.9252530709,114574.4336085661,118018.8315926353,120432.1205255504,122143.7995775185,128662.9319242607,132595.4826548658,129525.1771390971,121727.5849087442,118382.9089906445,113937.8357009827,108040.5756592032,107860.3947919638,103941.9826069556,104855.3668221354,104190.8767203342,107734.6083573272,106843.1637393913,106708.9879116835,98982.42574805905,103917.0347374001,110427.5567806089,110409.8104584489
Bhutan,,,,,,,,,,,409.3995100728823,406.2914188935076,397.262037460799,389.5939214871756,395.97778050326,370.0560394587623,389.6654260406906,406.3373687823719,420.6822032000138,426.1595615628136,432.838643462,482.2357227474255,483.0235344425073,516.6780561273129,523.4221651206758,527.7916003220158,570.0542881576002,713.5871457949469,725.5549161487702,756.3809756316945,812.6713255386419,795.1918437081858,863.4638961267066,917.2912934741336,963.0165748114264,1043.38748999705,1099.858178537838,1138.399223835567,1182.987811335202,1248.616008197936,1259.623764345663,1321.098783288692,1427.256931980238,1506.415275696434,1552.739150934396,1632.021693912004,1701.118782384218,1952.257346687942,2017.760188162436,2148.564803065867,2378.728108185922,2552.488710813462,2654.747989075105,2671.074601672682,2797.818838960417,2954.040819733274,3173.367731763179,3211.80903329561,3300.550064531342,3467.385989497198,3092.124284193877,3206.203670571832,3349.733096113239,
Bolivia,1276.965770082254,1277.284944431937,1321.009160772076,1381.644095491569,1406.290444120708,1444.227122468289,1514.706976689362,1575.496358975803,1672.332104229776,1708.503592471242,1758.010160866243,1805.973920657598,1906.555582348166,1971.132719857078,1983.716501046872,2081.069439176124,2127.832945725867,2182.675367005089,2176.909825700927,2130.754473607712,2054.797266348396,2015.245758492976,1894.059470374508,1778.787432544238,1737.687276394602,1672.789779735167,1595.835032360385,1601.018345131471,1613.048469533903,1639.113338154904,1679.40847737071,1731.39513976862,1724.363343064248,1762.66830681419,1809.570648734331,1858.781849655651,1904.287019240267,1962.864040202569,2025.503344138251,1998.945337759033,2014.190244219666,2013.845808466845,2029.669934003261,2050.07133171186,2099.99080817148,2156.186700721564,2221.427223262936,2283.427333034203,2383.2503229842,2422.5757910558,2481.407005596117,2568.520513621189,2657.238846038761,2793.514567706981,2900.902414335281,2996.012898042138,3077.570574798814,3160.164210431246,3246.764341888295,3272.381708345957,2949.819546155451,3098.350621001485,3172.910462712322,3226.087556733821
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.2116709180532,715.6899380758823,704.9996833640695,747.9304289838791,871.142724291713,1012.927054525039,1497.566247738823,1973.478014542227,2261.368694477907,2452.131938583364,2566.58782060588,2616.414125230936,2742.333626470949,2854.845045968129,3062.93618997193,3216.86881717187,3418.755012521844,3663.944889653871,3927.879655799656,3876.397180282916,3980.04128344756,4093.05152243746,4138.702183636006,4305.467556417803,4411.381022772616,4662.258837240693,4876.534724466601,5099.81613758953,5360.174438930987,5583.297320334665,5490.753670628993,5995.448175723845,6327.062939104369,6507.019875507905
Botswana,393.8617424871663,409.5021664692475,426.9016378518569,441.7280455694191,460.8244341306072,480.4906497733853,508.1417272801393,535.4052471457425,588.9071895949045,674.3899890558095,785.4748844427785,971.592899383618,1184.473700560749,1370.732827328558,1419.442068542569,1464.687852008581,1539.173872999815,1635.512591408739,1760.570703640008,1859.494578876416,2002.996152722348,2111.345638889047,2276.049824596726,2484.517955710674,2603.448656790044,2693.781881516846,2816.769371582297,3050.231762450119,3536.423253878771,3888.730451139246,4039.465444550989,4224.098575449484,4226.73999498293,4186.145473583633,4219.440808867804,4399.1388580936,4543.210534927304,4809.443918467196,4724.936709420278,5070.947720487288,5062.642891735881,4971.963717941883,5175.476553172314,5320.440295139003,5369.42516766112,5514.217426647054,5865.000265213611,6085.6354476126,6158.61629368051,5179.413860714604,5584.629494363559,5850.217171278843,5743.052779666376,6285.118218408553,6547.123268217203,6141.203947266163,6490.834635934826,6662.57549449506,6843.805806211293,6951.719898278057,6254.246175549302,6896.178668569242,7159.863837472896,7235.929106772838
Brazil,2603.519010560206,2743.388888579314,2838.472299308416,2772.579949185028,2785.074432266168,2772.671764046593,2878.699793640431,2921.372426525768,3126.535481987831,3338.762474527272,3595.950862988703,3907.012259974413,4268.383847191103,4748.262464093771,5013.817247552946,5148.910618991531,5543.43637970313,5679.785910254041,5821.4913127909,6069.054743407,6472.852146243391,6055.097814584001,5967.778996163917,5664.963685295887,5841.749864933721,6167.513436895022,6494.280879470558,6591.608829036307,6463.005452708921,6545.425756055961,6149.867889571522,6107.648837063061,5973.982856524764,6167.460922097895,6427.169019758622,6596.335727078234,6640.72700688977,6764.858421251673,6687.495235837027,6621.6367628267,6817.78424119813,6823.033970340293,6944.62337530502,6941.440457798112,7258.781852022311,7409.569132697919,7622.040071714006,8003.254131360915,8330.764598829868,8246.097070363532,8792.634361643355,9067.993163934188,9167.499239756851,9366.739324812252,9338.34278324839,8936.196617568252,8577.843766938298,8628.25308951214,8722.336303615766,8771.440513360649,8435.011432971824,8799.229458549275,9032.084816114912,9258.05329063487
