REF_AREA_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Burundi,1396.077626889155,1435.819561499659,1412.060546270978,1366.292152932177,1305.452079651504,1132.218781538122,1040.922314761079,1024.449953968789,1052.807034229786,1017.497778237347,988.036863486,983.3968467170328,998.5612889848552,955.669204427762,965.2041181160212,938.3815973100842,954.190853889464,951.2900825566378,957.2226643570352,944.6299256129544,947.6214173312696,951.188460391309,958.6574029077254,970.3753917685044,977.7658402881344,918.557192941296,897.4590464336037,880.9934401287061,868.5555075793944,855.7327200831218,833.9202574580189,836.6655713378286,829.3871596335701,828.861074309521
Cabo Verde,1848.758652355745,1830.075996562108,1984.680629988347,2111.621408147483,2465.9939315017,2763.397333718567,3022.888252115846,3302.974033753598,3657.381189937758,4006.47964718799,4510.13573659758,4540.907317805181,4710.241049122802,4841.265398714998,5268.303124857083,5565.76951208069,5941.382180915113,6767.406773803466,7169.139441553671,6994.5740991365,7072.121502073416,7325.784418346915,7397.822207024744,7440.662426501136,7491.021982282428,7560.136492024688,7881.303362277843,8234.560003124592,8531.12961646549,9111.629931732694,7207.868539620482,7685.419213936686,8850.106691881196,9288.402170394402
Cambodia,2646.09798836687,2731.379737202651,2769.488255268902,2714.591500600422,1650.391000019693,1672.739285141729,1643.015790580163,1595.171306570197,1602.383712089828,1775.412398020023,1922.031790925915,2032.080920223727,2126.341504689866,2309.839314827877,2491.309300038381,2781.890288952551,3041.104712201528,3308.157472465436,3501.925702193196,3587.608895883625,3711.537505801573,3921.979115633081,4159.163541234465,4419.398868018598,4702.730618232066,4968.57276699143,5283.729649437785,5632.031256293422,6050.590882622052,6448.884559528051,6128.782437833349,6225.532654747405,6456.738214327202,6690.589425857925
Cameroon,4517.618877796182,4220.652973870841,3974.277595011964,3556.318544245922,3522.748852857493,3526.543675103391,3577.592041378707,3641.707504632775,3714.13212604236,3780.062172821907,3822.944253589258,3884.873048127142,3951.419362321322,4054.781332465166,4222.966386898855,4199.722709693619,4241.517447228207,4302.619263084698,4300.266403524642,4286.57718166156,4286.583029473781,4307.851955585272,4382.111207973549,4473.57231896434,4588.486494990299,4698.666778435867,4767.131861489534,4797.975441855437,4851.480039499606,4882.355600288962,4763.481943880655,4793.556282001956,4843.650382029165,4870.570765143652
Canada,40410.54229975858,39076.8731677745,38960.92837183946,39559.26916280117,40886.80480638754,41551.33041382339,41813.73988997907,43172.25779625938,44482.20670918786,46390.42069258473,48322.09391928984,48696.3579268381,49615.72804572088,50059.79803664088,51128.9830092552,52273.03315987605,53110.9184064732,53676.0955104566,53625.99274870766,51470.1805843695,52474.5941242375,53595.49193346235,53948.6015392649,54624.89588291974,55634.58765730418,55572.07153127999,55517.44621194717,56522.01467180246,57246.02018074385,57491.98204632034,54006.58443024538,56547.80056085608,57653.68930470992,56686.91594989055
Caribbean small states,13575.85153459804,13547.07069521184,13551.80888938809,13526.06446132072,13878.51110676678,14083.21025971519,14469.14835581084,14858.96964866927,15169.67647263994,15506.29632271744,15854.67427172821,15942.28916430376,16135.64449558799,16420.31156485741,16874.83245473441,17267.94697914924,17963.45887214865,18522.53445761752,18618.3502150234,18195.96129128446,18350.73145538161,18688.93087951521,19016.04038495523,19038.16947260371,19209.09659462844,19039.71538799449,18923.96540913395,19132.93932112063,19508.31278979439,19617.13020724314,18259.347613931,20001.26973828487,24962.14472531368,28493.05893116665
Cayman Islands,,,,,,,,,,,,,,,,,92169.884857511,92300.47274134315,89338.28649621607,80594.07754252644,76259.0297427203,75059.65806787611,73948.02581737134,72954.51958782838,73017.59491744405,73281.04476347176,73907.22604402922,74564.73864582814,76088.89506222846,77440.552064534,72149.32688874984,74150.85809496917,76359.09088321179,78109.35065934405
Central African Republic,1481.252550942584,1427.69018313539,1294.202547257675,1257.828403382401,1278.915091450628,1334.103229817836,1247.968752582802,1278.488260627812,1302.751428307817,1313.235709020881,1245.813995635986,1272.857107585051,1290.383149171263,1191.873152006197,1236.285347121657,1219.593944567398,1251.870821713353,1284.552835906657,1283.272826310596,1402.681647708011,1479.41367757692,1517.148390910111,1577.98053252253,996.8963559239124,1001.855980534957,1043.921716971573,1073.944777037391,1103.866093187238,1125.70091748228,1145.095636577519,1136.570529937575,1128.552379964586,1137.347265600572,1135.136276817136
Central Electricity Board (CEB),17277.84383983882,15437.84507837567,14708.97788841826,14754.79070673549,15296.49717666534,16193.70916298255,16955.80331567138,17258.19690494822,17713.78566549799,18039.90767445858,18854.40863675561,19578.39713920591,20424.72014972831,21297.29422786515,22656.0188833527,23826.75237863342,25479.81396134532,27191.21688485774,28453.71191928543,27500.61566551801,27947.09651886072,29040.42447743085,29375.47576620326,29626.72218474478,30667.96059225061,31962.3185250789,32946.41590297533,34765.91143969939,36616.33613356978,38152.27085983656,36971.03705866731,39925.69973880071,41726.62839459962,42074.97764512795
Chad,1237.942316917541,1295.354241502627,1340.881839950652,1103.891826290528,1188.136322763351,1150.97353481429,1125.491167424524,1148.772386029671,1187.080661529647,1138.274003247925,1089.903024924331,1176.598893130372,1232.8086554535,1358.900178059736,1736.773828598461,1957.288595529855,1900.364044876314,1896.081083513095,1886.771574834866,1897.333086144647,2081.139380040222,2010.617439769909,2113.647530688278,2155.785318258695,2223.713834036945,2213.656702156402,2011.058934247515,1887.502977995218,1868.474148428954,1868.019489079006,1780.563022155835,1700.16698806139,1688.460175302639,1679.461532391197
Chile,11074.81406879045,11742.24170547623,12844.67130924753,13479.62919100096,13946.07138697925,14971.1325958275,15765.33032239607,16705.72654939687,17179.41123671186,16918.22267564507,17548.19278431436,17893.67314892446,18264.05766473207,18927.5936741267,19988.0915779977,20945.88662435483,21997.26987785041,22908.80641421645,23540.52980655948,23043.68093077852,24148.31145555674,25399.44521233233,26705.37910344046,27327.05163633403,27541.02302139354,27847.74862262003,27995.29532766236,27929.47554319528,28529.9262971877,28255.44101290591,26282.89176858185,29132.87798977509,29585.60167246921,29490.7584920368
China,1645.57894422689,1773.639411460967,2001.254274327848,2253.05201995372,2518.154888290588,2763.799761684591,3006.362707886319,3250.614573252307,3472.17856130428,3705.977206760344,3989.061895558507,4290.302080929212,4650.896821391108,5085.977830967676,5567.190612478013,6165.183440175244,6910.757858547735,7853.096395381152,8566.964854352173,9325.650779255326,10267.80566844468,11187.16609952113,11985.31712491314,12830.36997050851,13696.51749484921,14575.9347897624,15485.2130054608,16461.06992989603,17490.16673018038,18465.29894524501,18833.78470331162,20406.72965846051,21011.61713090766,22137.59982774657
Colombia,9980.97864434738,9978.270646055083,10178.24847525715,10514.33001618878,10908.44987321594,11258.88529280351,11282.97268616346,11463.02513048814,11323.64903929869,10660.66288978374,10794.20925176321,10804.1477584709,10905.66446069154,11163.34670643166,11587.2366945789,11977.85527962391,12614.08828208559,13294.5512205862,13566.82236900889,13562.52099410232,14012.03032287764,14825.88197701494,15252.2293128245,15883.86895168234,16450.97178180988,16791.38059883478,16972.9204854396,16955.74023154248,17073.62754991726,17305.85290374855,15833.21225492537,17352.08886818196,18419.03839906035,18324.90530056913
Comoros,3011.434511358716,2780.406968942899,2955.598195820477,2989.370679013478,2781.942353001272,2832.76455694623,2748.436393227569,2810.383364631417,2797.829159198348,2801.300271094196,3046.134348187338,3053.739655291344,3059.310155682924,3064.056572648559,3064.226385682523,3087.516619677862,3105.956858707305,3069.024726515767,3127.930798582579,3165.713710285489,3220.642980006289,3287.717244082048,3324.339491420273,3400.173128553885,3397.092587579414,3364.29622883082,3405.435199351528,3465.630556188367,3522.405015514733,3516.126684733846,3441.070411893912,3441.211555858576,3463.005743008909,3498.803270645293
"Congo, Dem. Rep.",2172.001597445441,1923.969922851708,1664.753651868454,1389.950869484134,1273.994587509706,1230.74487636898,1194.959102493235,1109.858456534372,1062.568706947883,983.6022257825572,886.7207593112989,841.0356513737311,839.766208262362,861.0815742873104,892.4352911077764,918.5348423563324,938.0411640831902,967.054152909544,996.7441180786312,993.997785686778,1031.25015320943,1066.57951450382,1104.664006529338,1158.281929774905,1225.702187119595,1267.905486782274,1253.158156567265,1253.187349397721,1282.482278966255,1296.947572562439,1277.632863457562,1313.61821829086,1385.464723809591,1455.835622971401
"Congo, Rep.",8699.526838706148,8658.161452860055,8636.637192099231,8302.697268349411,7617.607502748115,7701.324685333359,7812.047799716408,7599.048153885874,7711.632125760498,7312.326650716208,7570.582792973423,7567.439168171039,7729.388901418899,7577.456304563524,7577.445972741525,7876.11806658285,8192.57979719023,7375.824541001449,7587.28826163492,8138.450338188224,8583.661798342875,8492.420983921034,9079.686564008907,8798.493825063139,9159.256644140454,8977.706816414171,8001.825519450503,7372.770467375988,7029.33651566257,6939.369133974658,6350.509134097218,6263.211612926363,6205.105041403403,6172.287766506827
Costa Rica,10957.76091945819,10924.42093058477,11631.43733785678,12149.25479879905,12390.35599257685,12598.20915604675,12472.55515920837,12861.67114377411,13486.39448174589,13766.36945359266,14024.29028578934,14256.10223502117,14501.72916247368,14897.23292857592,15329.35326692293,15710.17716666549,16626.71290468833,17750.64460910906,18341.26911133399,17939.71144341419,18668.3047047966,19262.53416549107,19968.69262046599,20240.27380827781,20733.12346110914,21263.1954729748,21934.27692925194,22631.50611180788,23014.41628186958,23374.02951950469,22220.65152622837,23862.36487157935,24841.54626609931,25989.90980737191
