REF_AREA_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,414850249875.4438,422454763636.5739,428921086940.6755,424795410494.2195,438503437478.9095,448960679466.9095,454893391289.1545,472150552458.9852,481413354328.7969,498468472430.0724,516995075865.6175,522679972270.4741,531601565913.4254,537119352461.8132,556300995342.9554,569216846747.7585,583745199876.1177,605209072126.3964,607913781413.7645,596324264486.1003,612486509087.726,624314572801.1687,625661866581.7242,627573229038.6016,638653287824.0933,648068087142.4486,655802796871.1742,665472397001.6649,677969759473.9824,694531815381.952,661243017309.3291,702256972634.048,731986542867.8573,741148823051.3523
Belize,1509229599.540096,1687027060.475254,1901803195.129361,2018535873.247554,2018136103.801944,2032927573.289523,2055414604.605099,2142464401.386731,2225816330.796468,2435595347.380446,2733723411.444291,2870244677.120191,3025155337.294163,3317586686.75806,3476195214.303927,3553350717.306705,3713658264.996416,3838186447.304008,3773623681.837953,3758932154.711776,3800808004.13945,3791513364.529011,3933231632.997845,4108430592.536537,4274035085.380583,4396964189.905735,4399362806.579396,4319608802.180152,4367581135.653381,4553973639.669161,3920838780.183928,4616637500.268567,5062280489.762593,5120446944.098885
Benin,11656583104.93641,12149166926.26017,12508504151.85325,13238521979.4165,13505993136.74646,14322457251.57429,14941800983.39644,15798666707.43875,16424453813.41414,17301757698.49244,18315245216.98657,19292022099.30235,20187756640.96387,20882937540.23066,21807985798.84057,22181592483.58381,23056376559.06268,24436611800.83226,25633169334.4503,26227677415.83368,26782147492.65781,27575904170.75359,28902642501.72866,30981156880.98796,32950839416.30412,33536755116.76379,34656773215.44063,36622353578.74674,39075045480.19102,41757815652.79828,43364987288.17503,46467947984.76923,49373702578.77323,52510325825.43147
Bermuda,4553486195.909652,4392548595.135291,4389924565.03861,4521998392.252282,4549112899.054132,4749235123.181061,4872737815.624082,5096883796.202118,5295662269.056811,5474795830.975596,5984891121.72288,6417146024.980437,6322314044.383325,6537949631.628132,6689712913.498491,6801712496.11236,7178790348.47856,7418930915.035301,7280496941.37318,6870845386.65874,6698876489.172754,6448154670.044125,6106060777.932225,6088981604.147624,5863624279.213659,5909098426.970098,5870263459.583169,6082263318.650309,6055939203.91713,6074486531.204717,5658817336.41068,5965474014.720501,6349121642.123837,6343101176.861103
Bhutan,2010284100.864872,2002084642.308463,2094198378.243102,2135796835.285782,2241550894.430634,2400120836.69346,2533691710.856438,2669848213.462314,2827743862.576193,3053510132.855855,3155957485.992831,3387237868.111657,3740993523.625831,4032288248.988648,4240243727.303598,4534307660.145768,4790079125.369413,5561511005.107665,5813416792.573832,6259160083.503547,7005995171.890642,7600752209.833695,7993317388.340199,8132108587.206719,8610364845.466604,9183884142.476955,9962304960.221092,10170202848.84208,10526350318.19573,11132157411.28889,9994629326.989515,10436528610.02434,10980675415.85526,
Bolivia,36538326974.94422,38462627709.06484,39095914175.4943,40765034521.14381,42667646751.43967,44663757283.94544,46611696467.9087,48920937209.58115,51381344691.5325,51600684161.95078,52894731696.87946,53785372727.53596,55122243524.02022,56616794871.73885,58979581074.84628,61587323810.58447,64541673167.97308,67487603144.92326,71637076989.92194,74041933359.51863,77097438550.32104,81109660523.73116,85264320858.5034,91058893848.1463,96031228100.60002,100695644651.071,104989227225.8479,109393741901.8688,114014121704.6053,116541479327.6013,106358219546.2916,112858166795.2171,116927471575.734,120531135606.7267
Bosnia and Herzegovina,10726202214.8757,9723514150.362226,9097620518.296385,8899169710.450037,9889822211.147057,11469058786.08145,17685208383.89237,24165268307.4971,28180659787.91363,30863901088.43843,32534970207.82336,33323394426.31397,34998709489.0887,36352158161.5376,38651528923.29063,40157847801.25742,42331995115.17165,44811433552.22889,47250892278.95026,45831260043.83437,46228007173.61317,46671570101.81949,46288006115.63303,47375707911.62486,47922353034.70778,49990083055.1567,51610889128.35525,53285198477.46229,55324689025.81972,56922102752.07771,55205847194.08873,59285538511.28026,61791426180.97929,63157711526.93398
Botswana,13737149548.65842,14761763588.52752,15192374593.3192,15483476754.24911,16045204308.26583,17173247996.32138,18174414010.38034,19687595889.68482,19774942583.62103,21686633882.01246,22117698200.17355,22173119390.13403,23518923717.7977,24606884375.22008,25272702793.8426,26424290307.15242,28634383885.636,30293046543.68941,31278198518.48149,26854136736.26216,29572368613.53308,31594683838.36806,31540688283.10839,35042595321.54297,37038193113.93076,35241346050.84866,37780282311.19115,39334700518.53976,40982074575.33847,42224734095.67761,38539041551.53954,43133140608.76283,45499436856.60378,46743299628.89896
Brazil,1884169357571.789,1903617557453.696,1893260506388.938,1986497717291.208,2102764853432.129,2191581301438.958,2239990352941.518,2316034575532.01,2323865039823.12,2334739277338.681,2437186456558.206,2471060823402.504,2546513723160.092,2575565090158.29,2723916728546.844,2811140139434.874,2922517194416.031,3099910206578.081,3257825691169.878,3253726955440.896,3498674868152.622,3637727009587.292,3707614147323.184,3819021377717.476,3838267555171.562,3702171669286.628,3580891601615.874,3628262108472.512,3692978213726.296,3738061272790.157,3615574021216.433,3787769507879.985,3902034936764.088,4015524861483.221
Brunei Darussalam,30166243010.93382,31044278635.60206,30075505033.08294,29884931646.01638,30181609718.77487,30588244682.32541,30579889426.82602,32519860855.39771,30354961859.70541,31648302533.94558,32747978585.69705,33228083767.97093,34544394076.28451,35782267885.84207,35819674110.54649,35818268120.73883,37286248538.00443,35882934534.81869,34483245024.57813,33827975829.31728,34755323894.00475,36056704461.81184,36385950967.0723,35612828398.78221,34719698828.00459,34583464462.74325,33726514652.99773,34174647795.16426,34192545418.57725,35515401716.63939,35917994865.55246,35346624879.39198,34771064638.07629,35260317274.26566
Bulgaria,130264216964.2046,119262941147.8053,110589677367.3415,108952712535.7181,110933485198.4861,114108422701.8559,120048213721.8494,103102951580.4664,107009646337.0743,98025018798.98738,102521647467.8989,106441772186.4062,112691959806.2779,118593810875.3128,126314772193.7147,135227983625.8143,144426987547.9061,154037719169.1198,163479551738.2477,158007660035.362,160465247399.1601,163819252317.4909,165045955282.6651,164150165714.632,165708687797.0339,171338728719.2214,176524516253.3118,181371749630.6879,185995757723.3821,193042858668.3599,186835107197.6287,201372027226.1306,209504995520.206,213457966864.2779
Burkina Faso,10147246626.47231,11067600318.48685,11093355815.50607,11477339562.9845,11628267412.88166,12292982651.95605,13647023204.99821,14509083107.0829,15569366222.15316,16720757878.40854,17036525024.9961,18163219549.81516,18953857927.16048,20432731533.60074,21347801635.55424,23196921150.27887,24647462832.39186,25660813447.65731,27149138508.30867,27953282649.4762,30314295612.08696,32321878819.70762,34407503766.85252,36400587615.62798,37975584844.53784,39464694412.07334,41815991712.8466,44410042330.94913,47343134249.87951,50131268465.39976,51139294287.79715,54689652540.56654,55508487752.61309,57151639723.47984
Burundi,7799958297.46631,8189709456.596763,8272425388.69772,7756226044.327958,7459162587.125066,6868396909.945213,6318925157.29102,6218454247.488616,6513830823.93938,6448041132.845697,6392790185.905936,6524213620.969848,6814314046.122797,6730925379.84221,7056275277.329598,7119781754.889205,7505233008.237712,7764309791.276875,8141788511.19378,8452214175.391049,8885319152.80728,9243628531.936611,9654665547.090984,10130079612.68001,10559660855.45619,10147834073.5944,10086946976.89721,10137381839.12227,10300587140.14042,10487292010.8126,10521601909.47709,10847771568.53476,11048346804.03327,11346652233.70647
Cabo Verde,694075763.3366125,703821607.213835,780803130.0468655,848797899.326003,1011619758.532079,1155387478.817068,1286483805.223714,1429520555.86049,1608457729.235587,1788969285.582734,2044521201.707205,2090147852.0345,2199899241.028608,2291772738.239902,2525466468.96274,2700038276.853024,2915602594.876112,3357919567.093542,3594283904.72014,3540240729.111047,3605254387.812994,3746750463.410275,3787352067.997353,3811293311.414545,3837845328.094827,3873768577.694498,4039593563.548957,4223448183.682581,4380009912.03763,4684325394.423505,3709738572.10333,3970664151.461175,4599763302.145024,4851620394.064279
Cambodia,19514316431.90455,20995706332.9162,22469088082.52179,23389954628.53496,15248229812.52395,16758333509.97455,17746657168.31979,18457698475.24023,19321820012.76134,21776730888.17854,23953005981.20051,25723063815.35732,27334632491.09085,30145638982.96055,32996721516.80665,37386385535.0717,41477712320.64858,45790754857.6479,49214239315.33233,51219610560.84029,53819988410.35202,57741666976.15375,62159052652.65009,67043200062.80668,72406871106.33817,77625259450.47163,83761925237.79626,90525733498.03152,98470474432.232,106286026886.4879,102506791315.6383,105674090069.1422,111067028703.1094,116576027285.4174
Cameroon,51192848469.4072,49243117963.6864,47716579725.70467,43931668854.79916,44756182468.91572,46051427006.03644,47992527880.22929,50165300201.72246,52535878944.37153,54905932268.9424,57010156987.34702,59475425081.57201,62138155821.92609,65526644958.29012,70145528271.0204,71708560180.5984,74440357496.45605,77661830226.27544,79873388993.98529,81933524799.27232,84308797938.17027,87157770352.39572,91189670263.5506,95745076833.66672,101221521111.431,106957697125.5819,111809078187.6052,115768435044.3285,120347671976.6824,124529825764.7523,124853519772.0367,129022200845.7444,133843481810.6744,138191179830.7714
Canada,1119013903477.452,1095614705291.624,1105370784522.547,1134748299947.429,1185744447336.825,1217550006249.612,1238113953537.576,1291107296697.528,1341368638737.321,1410328447135.586,1482798727041.97,1510602658276.545,1555909489315.642,1584015207042.286,1632998720438.881,1685425399000.997,1729885973824.491,1765346986168.519,1782919361462.123,1730945724494.806,1784445905278.596,1840427442106.881,1872739114930.11,1916295535469.541,1971359650931.702,1984172916844.443,2004779563222.72,2065601265332.121,2122259952673.048,2162761839149.591,2053796848914.238,2162380202946.26,2244980236442.701,2273018407585.799
Caribbean small states,32619255092.09163,32724222688.92955,32996608322.51769,33202295172.55935,34355768496.91244,35218559890.56224,36581711145.46888,37977104409.94592,39188871939.44736,40479512182.67664,41800135257.06921,42430721456.57775,43353007596.07838,44536499071.44302,46155856107.03255,47572744960.93472,49848328918.32942,51782838339.52421,52436330560.23738,51618175619.38673,52402734109.34829,53694943042.7646,55018177859.81212,55536720122.7691,56497852531.41096,56443693220.87897,56534173373.93231,57580714817.48777,59470408748.74054,60404066860.50252,56468438465.84789,62236130929.07486,78169081018.04341,89821348016.25616
Cayman Islands,,,,,,,,,,,,,,,,,4445537886.44747,4586133589.099117,4569742692.567948,4240699172.132657,4125537250.051426,4173767346.522319,4225094403.101328,4279147346.424074,4392738510.233434,4517190161.309926,4663545963.378243,4812035408.508519,5017377829.298407,5213840048.848881,4955504368.026895,5198568359.322099,5466623675.420015,5704950753.457171
Central African Republic,4254024013.577516,4230518701.45514,3958746871.830741,3972019587.508677,4166646537.851938,4466646986.798066,4287976954.968166,4515236990.059244,4727459557.331969,4897646915.007926,4775723303.894918,4988946886.037208,5169374255.082566,4890358043.772501,5183529346.830709,5230606705.400101,5480163419.845117,5732663859.49915,5850420282.784785,6352811108.507023,6646998256.284716,6925814264.620867,7275828382.420444,4628010583.771934,4631762535.801561,4832647682.810843,5062213759.564401,5291394260.220051,5491908660.981346,5662157829.471767,5713117249.759055,5769272621.616959,5798240716.575074,5848699990.534425
Central Electricity Board (CEB),1913402471919.282,1705410517436.734,1619626942147.584,1623645557586.493,1682945001993.22,1779109647134.369,1858800183709.634,1888426646089.804,1935024541214.795,1967449486928.651,2044719589462.953,2107811038721.191,2184622981459.623,2270806256400.029,2409053365595.297,2526634355154.084,2695063138109.933,2865376391922.769,2987693329864.514,2882077584538.728,2918276257948.099,3025258283048.012,3052938205490.871,3072052862084.946,3172888434082.365,3298703269435.523,3391069028576.697,3568962571433.294,3750954881243.495,3902316282716.363,3772770478862.852,4018425537625.321,4184738567443.987,4214897028006.49
Chad,7406402145.750724,8038548727.991055,8681748650.327526,7317860084.68655,8059663338.649052,8159325050.604731,8340011103.661806,8811504651.54086,9424043438.978024,9359691337.876728,9277355909.137224,10358922553.38254,11238520402.37596,12893017953.10104,17228858903.55457,20215056685.18313,20346103218.80085,21011725899.92372,21653149077.19107,22566412982.66524,25624184702.19873,25645419412.41287,27923393300.62778,29515027099.31993,31551559555.29565,32424804397.29687,30396461975.81887,29488004137.00159,30188060501.79099,31168321743.62927,30669626495.90415,30311041208.7462,31161066088.6256,32445624829.8036
Chile,148814225809.6133,160428271620.8937,178342827832.9382,190093451229.1523,199655528170.27,217491347221.1051,232287102175.3785,249457159120.9165,259886680127.3184,259175548571.9042,272060775837.6436,280641667723.0857,289630056642.9963,303309994584.6491,323553674538.5369,342439650434.7466,363157217881.0585,381926021747.9291,396398698926.2975,391966813882.3723,414903343934.4357,440726499826.4715,467854714453.2867,483333726254.1498,491998205753.6635,502585724235.3129,511396246710.6758,518339449915.3895,539021346748.6899,542440723172.8685,509116014081.8939,566819004550.3127,578488334583.4507,579753955219.8002
China,1868036533802.202,2041068761921.052,2331401191963.713,2655086622394.262,3001225131285.812,3329977961864.488,3660396914986.988,3998499721193.332,4312220081533.431,4642607356110.92,5036769057117.472,5456620701629.818,5955008290109.176,6552773837418.753,7215496573067.44,8037672954625.27,9060141767713.252,10349477943026.89,11348272829141.88,12414865856391.45,13735294981706.79,15047129954669.41,16230396597386.13,17490873558596.02,18789704490483.84,20112749379001.54,21490223756848.45,22983192752169.79,24534506282427.84,25994432263673.93,26576353594843.02,28821648700423.29,29672080421839.52,31229733453000.37
Colombia,323783635910.1555,330264513759.8115,343623480304.5606,362129013365.6555,383185591160.9044,403120582405.6007,411408155897.5432,425520663859.5947,427945212895.2676,409954330915.8177,421944927233.6133,429024734027.8338,439767429564.7588,456998713196.9301,481370555420.3661,504614789584.6043,538509102433.9318,574794894184.2007,593667975215.5653,600433704253.7617,627421151605.165,671013695489.2532,697268017341.5155,733065712168.5594,766046558486.8716,788690139244.4336,805153119203.087,816098055632.1091,837025456243.9546,863700247132.489,801635488967.235,888221726895.8723,952963177224.434,958780155616.6832
Comoros,1338871738.01204,1266631077.143751,1374687143.652649,1416011081.976462,1341291249.960739,1389714632.934023,1371763842.914632,1427048033.742447,1445350150.154389,1473164594.364642,1632971701.376268,1671067414.168529,1709918810.144767,1745893306.982003,1779408519.071384,1829900087.600816,1878336728.173819,1893364217.455193,1968428747.063607,2032220419.176639,2108992966.455399,2196379231.212477,2265969527.5368,2367173330.714187,2417041567.340516,2444773512.159238,2525950910.202202,2622335207.320496,2717852485.921013,2765707895.424579,2760299364.816056,2815509823.503034,2888797834.749116,2975336816.914239
"Congo, Dem. Rep.",79677843436.78918,72968131207.578,65306471181.31892,56510309573.23911,54306409306.44737,54686553536.09587,54127015681.46227,51086675988.1484,50256949673.73818,48110907145.23768,44785997321.11139,43845413886.44614,45137873731.59509,47655584123.50753,50866795581.82064,53987550378.7193,56860216902.27956,60419369536.05256,64181015601.17746,66013424678.93288,70705643442.004,75566423729.31017,80921739816.65617,87785486697.07254,96099025196.66684,102745394379.2151,105210666253.3963,109131812716.1668,115484507692.662,120547959277.7881,122639976008.0256,130243843399.2817,141867386989.0595,154012458934.3619
"Congo, Rep.",20709745611.15031,21205820117.02698,21759705123.19229,21546528945.828,20362961790.32611,21174491870.66134,22082979539.52135,21945002399.77717,22765208444.80466,22177365378.46427,23857518231.72283,24764724673.08895,25899412178.59631,26110042793.81868,27017792797.89244,29113227688.49038,31438279446.95597,29358953277.7384,31210439248.13569,34842488218.40785,38302788206.12743,39147716827.6844,43041800172.35603,42735155559.22034,45575361950.4456,45764587690.92336,41789821841.04895,39451775871.40405,38542681577.08672,38976083979.39924,36533151792.05227,36903988991.0873,37448454255.79385,38162545447.21857
Costa Rica,34206908008.83816,34981918517.81622,38200641128.35484,40911813684.13908,42760630153.8138,44536886651.43674,45138339264.39217,47610189551.29122,51016845528.53865,53167109233.08968,55223994805.67382,57151958286.78141,59104770056.13978,61656429289.06316,64384479410.63112,66944835349.68163,71849679543.54588,77752225547.76074,81436261965.39316,80724952095.67221,85052086839.47455,88797065659.7082,93132664448.1404,95456106600.08798,98837266780.79912,102446883790.2206,106754081946.1153,111192595303.8939,114101287301.7461,116859699406.3282,111865870391.522,120743279901.813,126238900360.9441,132692134269.2825
