REF_AREA_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29435182820.3807,29081961913.58839,26290093194.80082,24292045612.70943,21449875344.30619,19219088195.13653,19757223553.99612,22009548117.5155,23858348254.10934,24669531913.76961,26100365593.86921,27333687748.34339,28712745414.35109,30735039349.34829,34254122383.3863,37474010431.59935,41221409496.63361,44766453433.55222,49332631447.7309,49431294367.02307,53262228116.65517,56218268314.01744,57178393454.14581,57749445092.79967,58702960436.3191,56454889146.60878,55028586612.08542,56422011402.68628,58198852028.12505,59040672510.78942,58643480548.47199,60073714183.74533,57275242735.77887,59501097357.38091
Belgium,107240692463.7982,112579587830.5428,118447239898.9756,123601571372.4922,132200143018.455,136907340419.1519,141227992305.0652,146690898577.5831,152843305011.9271,162976510134.7296,173329873446.498,180238502881.3492,189783220664.4977,201894620107.5574,211111631053.8179,206961299483.6277,218660295204.2679,220029447425.4538,226282456817.1315,231579894903.2198,241871430251.0995,241195923298.8745,242631007214.0729,243387633982.2702,249390504802.2694,253509918686.2495,258130802439.944,264085000038.9443,276558287082.5135,286152554601.8443,295130312407.3963,300540270633.7744,305140504133.5486,302205439784.6662,311957523308.0467,319396952585.876,323617567359.6357,335894554944.5439,342484242694.3431,354617493993.7838,367797580691.1451,371841896085.6103,378188843495.6857,382114274583.9205,395760365571.4474,404948884226.6767,415284559325.8841,430554260439.9587,432478428732.4735,424233483110.4344,435731531622.9149,444146182789.1395,445104666566.0669,446464436746.2498,454346946668.4115,461044767544.531,466547349016.5314,473426438780.1826,482317238512.9318,494099718421.5142,470417598481.1509,499595504127.0595,520745539238.4669,527263714444.4138
Belize,141975428.5302535,148921259.7802023,156207459.1694397,163949779.0622344,172147070.9673486,180634852.8946812,189252662.0749858,198550878.5389817,213178569.3943062,224064265.9385385,234836588.8512218,244134805.3152177,269081241.3113536,283482184.4051028,321922326.6994772,333488430.5274008,333374974.6471303,355032994.602523,383154473.5063303,411956277.4451074,461839032.8446414,467073042.3911808,466574565.2915104,456555175.588135,465577611.0921695,470263295.8290715,491647963.4049324,544386840.5500625,597674042.5048301,675436470.0534153,752750268.2122971,841429344.2436643,948552072.962837,1006774198.204342,1006574807.364474,1013952268.439596,1025168003.18218,1068585358.563473,1110158348.675986,1214788691.896807,1363484410.728492,1431576382.543471,1508840332.992386,1654694732.35595,1733803048.073645,1772285480.168201,1852241206.955336,1914351453.57427,1882149832.935561,1874822219.570406,1895708410.046596,1891072573.019661,1961756625.752926,2049139661.32515,2131737316.740539,2193050000.0,2194246345.039209,2154467872.48551,2178394773.26969,2271360752.358222,1955575509.717013,2302615266.507557,2524886205.250597,2553897572.451415
Benin,1651120631.207012,1702986960.906906,1644635648.428283,1722427374.618643,1836981870.463536,1934229170.874179,2003394550.956363,2024999131.081528,2102806394.295311,2163314605.68908,2208695701.820215,2175635020.73644,2315449323.603013,2401263703.415052,2481449394.195134,2359973874.267053,2380844452.677637,2499497734.132268,2530868380.99749,2696279545.786178,2879134857.798596,3165730597.155883,3236486776.275382,3095770068.395815,3341259668.136908,3592867374.830793,3670873612.964055,3615810400.393862,3738937613.959488,3632222333.60342,3958255490.521221,4125523428.110153,4247544481.222202,4495438486.533838,4586264345.838098,4863513136.177196,5073825258.085953,5364793325.340033,5577293440.152879,5875201745.588985,6219354272.838181,6551040876.247999,6855207726.487306,7091272067.697461,7405393051.151793,7532259620.700299,7829312267.999521,8298002249.854643,8704320326.475431,8906198943.57193,9094481753.908468,9364019722.361671,9814543622.52956,10520350022.20652,11189200116.59629,11388160997.10895,11768488383.67331,12435945493.10894,13268812303.05236,14179807375.10158,14725558723.73186,15779238957.7761,16765953415.37327,17831064526.92393
Bermuda,1684353374.140365,1763181111.496539,1841995308.028326,1861704657.720403,2068540044.961733,2167002551.423039,2478262917.221429,2807253305.252574,2866353374.412627,2964853490.386402,3152003710.100256,3260353838.307725,3319453907.467779,3368703965.454666,3398254000.034693,3526304151.649023,3841504521.916679,4068054788.444255,4127154858.664837,4215804962.404917,4550705357.139962,4659055484.286902,4412805194.352466,4501455299.153073,4523125324.794567,4432505217.759326,4728005565.680649,4905305774.221337,5104276008.40352,5126931035.692594,5127916036.279647,4946675890.082971,4943720834.234874,5092455993.935193,5122991040.768083,5348359015.582251,5487441777.636339,5739864145.646641,5963718852.735554,6165450410.772202,6739895068.977911,7226679645.63174,7119884453.303514,7362722827.738144,7533631299.475802,7659759815.305759,8084406664.528995,8354841362.083094,8198943712.904849,7737613934.724328,7543950875.428823,7261600082.730732,6876350478.405645,6857116738.504308,6603330213.037285,6654541000.0,6610806937.028486,6849550930.142147,6819905984.649089,6840793088.054296,6372686534.511537,6718028461.703443,7150073873.987644,7143293917.040729
Bhutan,,,,,,,,,,,126311212.0437662,129692690.1164155,131201349.5399533,133126190.9417753,139993192.5635615,135363168.7296601,147484467.102141,159137560.7725593,170478518.0713832,178646088.2071315,187593999.4310046,215962517.1323161,223391139.326643,246693104.6785468,257934068.2168271,268325027.2709103,298893144.5839456,385734526.7694791,404123930.5260389,433849538.2886811,478896647.4126897,476943344.7866705,498886989.1207117,508796713.6251781,533989801.6832115,571764867.2559932,603584570.6507087,636020231.1592599,673634664.3476609,727417465.4399456,751822818.8586457,806919210.2400333,891192073.6408486,960585283.9464154,1010125138.205466,1080178038.441069,1141108778.104551,1324881878.013652,1384891722.905476,1491078190.550075,1668991760.002705,1810676784.210721,1904194982.855802,1937258289.578951,2051190105.776601,2187815803.829218,2373253832.082802,2422779967.131044,2507622616.478268,2651940022.031205,2380954251.57499,2486224986.715563,2615853471.018174,
Bolivia,4727739740.788239,4826516215.358239,5095783590.614156,5442175889.104984,5657500831.535832,5935478851.011684,6361087683.95581,6762931556.641482,7339771954.866651,7668160495.844388,8069284218.477662,8477859226.647632,9153331406.630732,9678655881.042225,9963166533.595388,10691575405.47546,11184945367.87624,11740973123.2313,11981979440.56646,11997956696.95951,11833371977.17377,11865986687.79432,11398616569.94718,10937870649.96047,10915922095.5904,10732928692.89008,10456675537.00574,10714274130.59171,11026005717.88675,11443905774.47641,11974420919.65695,12605056990.71095,12812599025.05063,13359606817.66457,13983135084.51907,14637304820.71897,15275687736.57235,16032477193.97057,16838807348.13887,16910689762.04589,17334777867.77406,17626660706.21686,18064782945.45559,18554580601.92453,19328918095.77224,20183533283.52618,21151739156.04324,22117185810.67596,23477060510.17149,24265185331.55743,25266542216.39659,26581436430.50922,27943010857.84632,29842021069.10313,31471565392.05306,33000198248.12923,34407300577.66223,35850757819.52358,37364958855.72832,38193230057.44508,34855949753.41711,36986126769.11829,38319728286.38797,39500728992.57042
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519825382.252939,3190791225.591043,2985402939.168423,2920280897.219834,3245365558.789039,3763595298.419272,5803437611.284883,7929882641.939969,9247541638.975395,10128052806.59056,10676417585.10954,10935140618.72693,11484898712.32759,11929035686.01389,12683578944.50329,13177880591.46285,13891331517.23966,14704964354.8142,15505477767.974,15039622521.67858,15169815910.70444,15315372000.55344,15189504687.29089,15546436275.29923,15725819000.02948,16404348871.4437,16936219727.67668,17485647794.26274,18154910824.65925,18679105433.99119,18115912632.4361,19454671753.54354,20276983961.36756,20725333315.94359
Botswana,203297646.3108882,216193392.7701075,230606288.1446432,244260590.4463394,260949209.0174024,276120678.7613727,293637827.376465,311034576.4401176,343901775.878978,395911433.3150378,463692530.4326432,583423075.8147743,737224722.5449144,894277062.4117701,972953726.9983668,1055131834.829942,1167475696.061344,1307713344.763051,1495145303.788537,1676784360.545177,1877778848.23491,2047996824.33982,2297146530.420913,2599146160.633297,2821253171.417099,3022275113.058417,3269283371.126994,3657737271.882021,4369166056.009129,4939753185.090454,5274313873.088448,5667709608.200798,5833040675.496278,5944807979.218222,6160480628.085598,6593587689.50958,6977980665.542336,7558959721.659627,7592496073.430735,8326480944.196966,8491986059.025715,8513264763.900862,9029979997.342588,9447697367.928951,9703335214.038122,10145481816.2871,10994036837.14716,11630872553.11265,12009117014.18818,10310519328.35032,11354171655.91499,12130630062.24768,12109898723.10178,13454439438.01926,14220639811.99157,13530748844.50496,14505561464.35589,15102373014.42019,15734874525.09844,16211987795.53599,14796883501.25504,16560766198.02759,17469294498.13942,17946869751.49869
Brazil,188463862179.8275,204671754327.2929,218180090112.8941,219489170653.5716,226951802455.7927,232398645714.7317,247969354977.619,258384067886.679,283705706539.5735,310657748660.8328,342966154521.5594,381868537891.9861,427464970662.7264,487176363120.1859,526900425054.7337,554123521039.7493,610960688375.5176,641107493117.4106,672969879603.4447,718459683218.4651,784557974074.5621,751214260176.3967,757449338535.8573,735256072916.757,774959900854.2609,835794253071.3239,898395242626.3645,930108594691.0736,929550529534.2598,958924326267.5452,917211118074.9048,926678475712.6582,921636677135.0035,967024426444.3696,1023623112494.871,1066858840351.506,1090424301744.441,1127442527385.925,1131254386908.335,1136547951157.1,1186419100699.972,1202909097080.86,1239639467559.786,1253781634079.446,1325999012823.98,1368459252346.196,1422677453441.882,1509032134017.685,1585905180276.354,1583909921216.671,1703150236842.001,1770840632932.707,1804861597918.785,1859094488365.144,1868463501755.788,1802212206904.678,1743173232503.857,1766233131755.029,1797736845059.11,1819683217790.429,1760056587883.527,1843881120012.461,1899505377653.061,1954752120905.496
